publication_number,title
US-6019947-A,Method and apparatus for sterilization of a continuous liquid flow
US-5023012-A,Purification of water
US-3770623-A,System for purification of polluted water
US-6191301-B1,"4,4-diarylbutadienes as water-soluble photostable UV filters for cosmetic and pharmaceutical preparation"
US-4361580-A,Aluminum ibuprofen pharmaceutical suspensions
US-4477347-A,Portable water purifier
US-5476591-A,Liquid treatment system and method for operating the same
US-7351336-B2,Ballast water treatment systems including related apparatus and methods
US-5614102-A,Method for purifying sewage
US-2002007054-A1,Method for purifying nucleic acid and apparatus using the same
US-5688528-A,Oil-in water emulsions
US-5080793-A,Apparatus and method for the simultaneous purification of air and water
US-5512178-A,Water treatment method and apparatus therefor
US-5911882-A,Removing contaminants from water using iron oxide coated mineral having olivine structure
US-6190528-B1,Helical electrodeionization apparatus
US-7717270-B2,End-of-faucet filter
US-4623467-A,Water purifying and vending apparatus
US-6454941-B1,Gravity-flow water filtration device
US-4176061-A,Apparatus and method for treatment of fluid with ozone
US-8202419-B2,Tank
US-6808608-B2,Water purifier and method
US-6303031-B1,Water filtering system with replaceable cartridge for a refrigerator
US-8002963-B2,Charge barrier flow-through capacitor-based method of deionizing a fluid
US-2003132167-A1,"Potable water treatment system, apparatus and method of operation thereof"
US-5540912-A,Viscous suspensions of controlled-release drug particles
US-5019259-A,Filter underdrain apparatus with partitioned distributor conduits
US-4988436-A,Aquarium filtration system with liquid distributor and protein skimmer
US-5252206-A,Filtration cartridge
US-4765892-A,Sand filter media and an improved method of purifying water
US-2015175443-A1,Leverage of waste product to provide clean water
US-4378155-A,Suction film holder
US-5887848-A,Flush valve bypass and filter
US-5192426-A,Water reclamation system for landscape irrigation
US-5904854-A,Method for purifying water
US-6814724-B2,Water purification pack
US-2011123613-A1,Extended-release dosage form
US-6461520-B1,User-activated ultra-violet water treatment unit
US-6143185-A,Treatment system for aircraft toilet waste water
US-7163623-B2,Fuel filter with keys
US-7169311-B2,Apparatus for disinfecting water using ultraviolet radiation
US-3625365-A,Underdrain assembly for pool-type filter
US-5106504-A,Artificial open water structures
US-7374655-B2,Electrochemical water purifier
US-7210601-B2,Variable flow water dispenser for refrigerator freezers
US-6149803-A,Storm sewer catch basin filter
US-5651894-A,Water purification system and method
US-6827874-B2,Water treatment compositions
US-6550622-B2,Composite filter medium and fluid filters containing same
US-6565749-B1,Microorganism filter and method for removing microorganism from water
US-4895648-A,Filter cover for a purification insert in a water treatment device with a hollow tube
US-5541096-A,Photocatalyst and process for purifying water with same
US-9029102-B2,Process for the purification of recombinant albumin
US-2005098495-A1,Purification materials and method of filtering using the same
US-6120685-A,Water filtering system with replaceable cartridge for a refrigerator
US-6348155-B1,Water purification system and method
US-7150831-B2,Method of purifying fischer-tropsch derived water
US-6162467-A,Sustained release compositions and a method of preparing pharmaceutical compositions
US-6692769-B1,Sustained-release particles
US-5902476-A,Artificial kidney for frequent (daily) hemodialysis
US-4563286-A,System of ionized oxygen allotrope gas water purification and method and apparatus therefor
US-6200471-B1,Bottle specialty water filters
US-4642193-A,Method for purification of the cooling water used in nuclear reactors
US-5320773-A,Composition and method for purifying water
US-7442301-B2,Filter housing apparatus with rotating filter replacement mechanism
US-9216917-B2,Recovery of retrograde soluble solute for forward osmosis water treatment
US-4556484-A,Water filters
US-3950251-A,Filter with quick-connect coupling
US-2005037351-A1,Method of purifiying nucleic acid using nonwoven fabric and detection method
US-5858246-A,Method of water purification with oxides of chlorine
US-4888118-A,Water purification process and apparatus employing nylon 4
US-4118299-A,Electrochemical water desalination process
US-6139726-A,Treated water dispensing system
US-7000437-B2,System and method for economically viable and environmentally friendly central processing of home laundry
US-8226831-B2,UV LED based water purification module for intermittently operable flow-through hydration systems
US-5266238-A,Narrow band radiation filter films
US-6027649-A,Process for purifying water using fine floc and microfiltration in a single tank reactor
US-5470421-A,Method for purification of etching solution
US-2008104978-A1,Circulation-Type Apparatus for Generating Drinking Water
US-2008190849-A1,Depth exposed membrane for water extraction
US-8057567-B2,Filter medium and breather filter structure
US-7083730-B2,Production of purified water and high value chemicals from salt water
US-6270015-B1,Radiator for a vehicle
US-5788858-A,Mobile water purification unit with modular dechlorination input stage
US-4828692-A,Simplified method and apparatus for purification
US-7976711-B2,Batch filtration system for preparation of sterile fluid for renal replacement therapy
US-4145282-A,Process for purifying waste water containing fluoride ion
US-4724079-A,Water purification process
US-5137625-A,Aquatic plant/microbial water purification system
US-6164288-A,Cigarette filter containing dry water and microcapsules
US-7033498-B2,Cartridges useful in cleaning dialysis solutions
US-5628895-A,Closed circuit for treating drinking water with UV treatment and filtering
US-3915857-A,Method and apparatus for conserving water
US-4175697-A,Thermally actuated phase change operated control valve for use in an energy conservation system
US-5707514-A,Water treating method and apparatus treating waste water by using ion exchange resin
US-6267891-B1,High purity water production using ion exchange
US-3753886-A,Selective destruction of bacteria
US-3576426-A,Thermostatically controlled electric aquarium water heater
US-4808287-A,Water purification process
US-2008245738-A1,Method and system for providing ultrapure water
US-6953593-B2,Sustained-release microencapsulated delivery system
US-4306971-A,Water purifying apparatus
US-2005204612-A1,Method and device for producing biodiesel
US-7285209-B2,Method and apparatus for separating emulsified water from hydrocarbons
US-6153111-A,Method and apparatus for purifying water
US-2004159536-A1,Locally powered water distillation system
US-7428820-B2,Refrigerator
US-7438732-B2,Hydrogen generator cartridge
US-5632890-A,Ceramic filter filtration apparatus for purifying swimming pool water
US-3982406-A,Refrigerator water storage and dispensing system with water filter
US-2007045183-A1,Purified water reclamation process
US-5601710-A,Filtering apparatus of water purifier
US-2005181050-A1,Dosage forms using drug-loaded ion exchange resins
US-4298467-A,Water treatment system
US-5498330-A,Gray water reclamation system including plural filtration steps
US-6444172-B2,Water quality meter and water quality monitoring system
US-5484397-A,Artificial kidney for frequent (daily) hemodialysis
US-5082568-A,Method for removing low concentrations of metal contaminants from water
US-5907958-A,Refrigerator water filter
US-5096574-A,Reverse osmosis system
US-7160980-B2,Polyketones
US-6258265-B1,Water purifying apparatus having a plurality of purifying stages and modular ion exchange media containers
US-6285810-B1,Tunable add/drop optical device
US-2011287555-A1,Reusable sheaths for separating magnetic particles
US-5211823-A,Process for purifying resins utilizing bipolar interface
US-4902411-A,Drinking water purifier
US-2016220922-A1,Water Vending Apparatus
US-4676914-A,Microprocessor based pump controller for backwashable filter
US-7845875-B2,Light articulation ball-joint and method of manufacture of such a ball joint
US-6126817-A,Oil and debris separator
US-5582733-A,Method and installation for purifying water using variably agitated denitrifying physical-chemical sludge
US-4940486-A,Process for treating liquid metals
US-5112477-A,Purified water and ice dispensing apparatus
US-6187162-B1,Electrodeionization apparatus with scaling control
US-5833960-A,Foaming light protection preparations containing water-soluble light protection filters and surface-active substances
US-4784763-A,Water purification machine
US-5865991-A,Monitoring system for a drinking water purification system
US-8636906-B2,Liquid purification using magnetic nanoparticles
US-5868933-A,Antimicrobial filter cartridge
US-5067509-A,Gas jet actuator using coanda effect
US-6325929-B1,Replacement filter cartridge for water filtering system
US-8469295-B2,Trace chemical particle release nozzle
US-4983305-A,Power recovery pump turbine
US-2011139005-A1,"Air Purifier Employing A Water Jet-Type Fan System, and Purification Method Thereof"
US-6458257-B1,Microorganism control of point-of-use potable water sources
US-7856843-B2,Thermal energy storage system using compressed air energy and/or chilled water from desalination processes
US-2005014245-A1,Devices and methods for biomaterial production
US-6436264-B1,Apparatus for electrically producing deionized water
US-6555000-B2,Fuel filter with bypass valve
US-7449105-B2,Water filtration and erosion control system
US-7329344-B2,Grease and scum removal in a filtration apparatus comprising a membrane bioreactor and a treatment vessel for digesting organic materials
US-5503735-A,Membrane filtration system with control valves for optimizing flow rates
US-8616279-B2,Water treatment following shale oil production by in situ heating
US-6517720-B1,Escutcheon-mounted filter with above counter access for cartridge renewal
US-7201005-B2,Measured fill water dispenser for refrigerator freezer
US-6766106-B2,Method for preparing infant formula from powder with dispensing and filtering means
US-6182453-B1,"Portable, potable water recovery and dispensing apparatus"
US-4073722-A,Process for the purification of waste water
US-5182023-A,Process for removing arsenic from water
US-5324434-A,Water purifying apparatus
US-5068030-A,Water filtering sterilizing and heating apparatus
US-5474451-A,Dental water and air purification equipment
US-4134830-A,Method of purifying waste water
US-5733448-A,Manually pressurized water filtering container
US-5547584-A,"Transportable, self-contained water purification system and method"
US-6581375-B2,Apparatus and method for the recovery and purification of water from the exhaust gases of internal combustion engines
US-9409106-B2,Fluid filtration and particle concentration device and methods
US-5435969-A,Monitoring water treatment agent in-system concentration and regulating dosage
US-7387210-B2,Filter cartridge and manifold for a water purification system
US-4752389-A,Water purification system with purified water cooling apparatus
US-7217343-B2,Point of use water purification method and apparatus
US-5647977-A,Method and apparatus for removing contaminants from industrial waste water
US-4165289-A,System for the clarification of waste water and utilization of waste products
US-2008314807-A1,Systems and Methods For Treating Water
US-6739344-B2,Biodegradable cellulose acetate structure and tobacco filter
US-4243525-A,Method for reducing the formation of trihalomethanes in drinking water
US-3741890-A,Solid waste disposal and water purification method and apparatus
US-6861004-B2,Self-cleaning water filter
US-9795571-B2,Pulsed release phenylephrine dosage forms
US-4756875-A,Apparatus for filtering water containing radioactive substances in nuclear power plants
US-5560318-A,"Method of raising sea-water fish, display tank for sea-water fish and tank system for raising sea-water fish"
US-6296756-B1,Hand portable water purification system
US-5128043-A,Method and apparatus for purifying liquids
US-5873996-A,Community drinking water purification system
US-5190659-A,Contamination removal system employing filtration and plural ultraviolet and chemical treatment steps and treatment mode controller
US-7201856-B2,Water treatment compositions
US-5478208-A,Submersed jet pump method for generating a stream of water
US-5688588-A,Water purification device
US-2001048075-A1,Particle beam apparatus
US-6524477-B1,Gravity-flow filtration cartridge for the removal of microorganisms and/or other contaminants
US-9067219-B2,Trace chemical particle release nozzle
US-5536676-A,Low temperature formation of silicided shallow junctions by ion implantation into thin silicon films
US-4923601-A,Filter system having multiple filter elements and backflushing assemblies
US-5935441-A,Water purification process
US-4337136-A,Device for purifying water
US-3955318-A,Waste purification system
US-6117313-A,Method and apparatus for aquaculture and for water treatment related thereto
US-6606823-B1,Modular roof covering system
US-6761827-B2,Method and apparatus for purifying water
US-8182693-B2,Method and apparatus for desalination
US-4789475-A,"Water purification material, process therefor, and device for the removal of heavy metal toxins"
US-4249905-A,Treatment of cement copper
US-6396025-B1,Powder feed nozzle for laser welding
US-4548716-A,"Method of producing ultrapure, pyrogen-free water"
US-8518269-B2,Method and system for treating water used for industrial purposes
US-6699308-B1,Method and apparatus for the drying of natural gas
US-3699776-A,Ozone purifier for pressurized water cooler
US-6197189-B1,Oxygenated water cooler
US-3950253-A,Domestic water filtration apparatus
US-3852193-A,Liquid-purifying process and apparatus
US-5462586-A,Oil-and water repellent gas-permeable filter
US-5013431-A,Apparatus for anaerobic purification of waste water
US-5833849-A,Spout mounted water filter and extension
US-5288412-A,Gray water processing system
US-5037550-A,Biological contactor for purifying water to produce drinking water and associated control method
US-3562520-A,Fail-safe water purifying apparatus
US-7387723-B2,Filtration apparatus comprising a membrane bioreactor and a treatment vessel for digesting organic materials
US-4626346-A,Reverse osmosis water purification system for use in limited water supply installations
US-5968870-A,Catalyst for purifying exhaust gas from internal combustion engine and purifying method thereof
US-4683060-A,Multiple-disc type filters
US-5799612-A,Compact and efficient photosynthetic water filters
US-8318011-B2,Portable drinking water purification device
US-4769143-A,Device for purifying water
US-6357060-B2,Method and apparatus for purging water from a whirlpool system
US-4547286-A,Water filtration process and apparatus having upflow filter with buoyant filter media and downflow filter with nonbuoyant filter media
US-5053110-A,Solar water distillation system
US-3780867-A,Water purification apparatus and cartridge therefor
US-2004164029-A1,Water treatment compositions with masking agent
US-7083733-B2,Water treatment system and method
US-4898107-A,Pressurized wet combustion of wastes in the vapor phase
US-7038017-B2,Antibody purification
US-2010282593-A1,Recovery of high water from produced water arising from a thermal hydrocarbon recovery operation using vaccum technologies
US-6649056-B2,Filter assembly
US-5554025-A,Disposable point of use air and water filter for dental syringes
US-4120787-A,Fuel cell water conditioning process and system and deaerator for use therein
US-5493119-A,Smoke and vapor detector for microwave oven
US-6428689-B1,"Water purifying and dispensing apparatus, and method of purifying chlorine-containing water"
US-6358422-B1,Method and apparatus for removing oil from water including monitoring of absorbent saturation
US-6423224-B1,Filter cartridge assembly for water treatment device
US-6202541-B1,Apparatus for making purified water and related drinks
US-3675252-A,Pop-up head for water jet-pool cleaning system
US-5670053-A,Purification of gases from water using reverse osmosis
US-5993663-A,Liquid filtering system in machine tools
US-6224751-B1,Water purifying device with means for indicating exhaustion of the purifying medium
US-6531050-B1,Water purification process
US-5749726-A,Disposable point of use filtration element for purifying air and water supplies to dental handpieces
US-4261798-A,Method of purifying readily polymerizable vinyl monomers
US-5823229-A,Faucet having multiple water discharges
US-3568843-A,Water storage system for reverse osmosis purification unit
US-5133619-A,Storm water filtration system for use with conventional storm water collection sewers
US-4695378-A,Acid mine water aeration and treatment system
US-5569371-A,System for underwater navigation and control of mobile swimming pool filter
US-4090962-A,Reverse flushing filter device
US-4684462-A,"Filtration, aeration, and water level control means for aquariums"
US-2005284806-A1,Nanofiltration system for water softening with internally staged spiral wound modules
US-6350376-B1,Reductive heat exchange water and heat exchange system using such water
US-7497954-B2,Apparatus for separation of water from oil-based drilling fluid and advanced water treatment
US-6861033-B2,Purified water supply system for high demand devices and applications
US-6303035-B1,Immersed membrane filtration process
US-7837876-B2,Water purifying apparatuses
US-3632316-A,Process for producing heavy water
US-5484538-A,Multiple service water purifier and dispenser and process of purifying water
US-6551518-B2,Combined ozonation and electrolytic chlorination water purification method
US-5106500-A,Portable water purification system including a filter cleaning mechanism
US-6008385-A,Process for the purification of taxoids
US-5900138-A,"Vessel for filtering liquids, particularly drinking water having device for counting occasions of vessel access"
US-5989424-A,Water filtration cartridge
US-5326446-A,Treatment of water with static and radio frequency electromagnetic fields
US-5427682-A,Water purification and dispensing system
US-6235166-B1,Sealing means for electrically driven water purification units
US-5316673-A,Spout assembly for self-service purified water dispenser
US-4540489-A,Compact water purifying device
US-2006000763-A1,Gravity flow carbon block filter
US-3726404-A,Batch ozonators for drinking water
US-5701749-A,Water collection and dispensing machine
US-8262910-B2,Residential reverse osmosis system
US-4104164-A,Device for treating waste water
US-4274970-A,Method and apparatus for treating water
US-8343328-B2,Brine purification
US-6596192-B2,Oxygen absorbent composition absorbing water vapor
US-5106501-A,Multi-function filter cartridge with flow distribution control
US-6149821-A,Balanced water purification system
US-6613236-B1,Water filter monitoring and indicating system
US-6919000-B2,Diffusion driven desalination apparatus and process
US-5967182-A,Outside filter for flush valve
US-2002074559-A1,Ultraviolet light emitting diode systems and methods
US-2009127207-A1,Apparatus for treating ballast water and method for treating ballast water
US-5486291-A,Ecological fluidized bed method for the treatment of polluted water
US-6491848-B1,Method of pretreating activated carbon for polarized electrode
US-5118422-A,Photocatalytic treatment of water
US-8008379-B2,"Fluorescent polymer fine particle, method for forming thereof, fluorescence detection kit, and method for detecting fluorescence"
US-6319845-B1,Method of purifying alkaline solution and method of etching semiconductor wafers
US-6814861-B2,Ultrafiltration and microfiltration module and system
US-4764274-A,Water filter unit and dispenser
US-4948499-A,Simplified method and apparatus for purification
US-5616243-A,Filter for inverted bottle type water dispenser
US-5203803-A,Reverse osmosis water purifier booster pump system
US-4396512-A,Bacteriostatic filter media
US-5741416-A,Water purification system having plural pairs of filters and an ozone contact chamber
US-6498603-B1,Surface wave touch screen
US-6830661-B1,Point of use water purification method and apparatus
US-4966708-A,Power recovery pump turbine
US-8343347-B2,"Dual stage ultrafilter devices in the form of portable filter devices, shower devices, and hydration packs"
US-8372248-B1,Method and apparatus for purifying water
US-6673248-B2,Apparatus and method of purifying water with ozone
US-6090294-A,Apparatus for the purification of water and method therefor
US-6579495-B1,Hand-held ultraviolet water purification system using solid state devices
US-5097795-A,Water purification system and apparatus
US-2004232068-A1,Formation of composite materials with expandable matter
US-5582717-A,Water dispenser with side by side filling-stations
US-5938915-A,"Water for medical treatment, production method thereof, and dialysis apparatus using water for medical treatment as dialysis liquid"
US-6197193-B1,Drinking water filter
US-2016340774-A1,Method of coating a substrate so as to provide a controlled in-plane compositional modulation
US-5341162-A,Liquid deagassing apparatus
US-6284293-B1,Method for generating oxygenated water
US-4954257-A,Biological purification loop device and method having deflector plate within guide pipe
US-8398853-B2,"Filter assembly, valve assembly, and water purifying system having the same"
US-4507208-A,Process for handling waste from oil well operations
US-5586597-A,Method to prevent/mitigate steam explosions in casting pits
US-4964970-A,Compact low volume water purification apparatus
US-5171438-A,Aquarium filtration system
US-6773588-B2,Purified water supply system
US-5766453-A,Filtered water dispensing cabinet
US-2012138533-A1,Dialysis system control system with user interface
US-4983296-A,Partial oxidation of sewage sludge
US-5695614-A,Method for processing waste liquids in particular industrial waste water having a high solids content
US-6296751-B1,Electrodeionization apparatus with scaling control
US-5015379-A,Coiled filter strip with upstream and downstream butt ends
US-6139739-A,Composite filter element
US-5122272-A,Drinking water supply container having a removably mounted filter device
US-4528093-A,Method and apparatus for purifying and dispensing water
US-6165326-A,Facility for desalinating of purifying sea water or brackish water by means of solar energy
US-4443337-A,Biological treatment of waste water
US-5814234-A,Integrated soil and fluid decontamination system
US-7025883-B1,Autotrofic sulfur denitration chamber and calcium reactor
US-3856676-A,Water purification and vending apparatus
US-2005138867-A1,Multifunctional tridimensional combined green building
US-4904633-A,Catalyst for purifying exhaust gas and method for production thereof
US-5681475-A,"Water purification composition, kit and method employing the same"
US-8222166-B2,High flux and low fouling filtration media
US-5135645-A,Refrigerator water filter
US-5374356-A,Fluid treatment process using dynamic microfiltration and ultrafiltration
US-8029857-B2,Micro-and nanocomposite support structures for reverse osmosis thin film membranes
US-5156842-A,Liquid suspension for oral administration
US-5951863-A,Water purification using reverse osmosis device for formulation of medical solution
US-6679988-B2,Apparatus for producing USP or WFI purified water
US-2010258449-A1,Self-sufficient hydrogen generator
US-6991722-B2,Hydrate desalination for water purification
US-8097163-B1,Purification of oil field production water for beneficial use
US-4933080-A,Housing with replaceable filter cartridge for use with shower head
US-6863818-B2,Method and apparatus for treating wastewater using membrane filters
US-3579441-A,Blood purification by dual filtration
US-5500976-A,Mobile cyclonic power wash system with water reclamation and rotary union
US-5160038-A,Water purifying apparatus
US-6419839-B1,Pool and spa filter media
US-3878054-A,Distillation apparatus and process
US-5830360-A,"Pour through and pitcher mounted water filter for removal of parasite cysts, bacteria and viruses and method of filtrating water"
US-6101818-A,Process for separating water from chemical mixtures
US-6436283-B1,Portable rainwater collecting and purifying system
US-2009277829-A1,Method of ecological restoration of water bodies containing excess nutrient
US-2018263932-A1,Method For Relieving Sinus Congestion
US-5578214-A,Apparatus and method for waste water treatment utilizing aerobic and anaerobic microorganisms and capable of exhaust gas treatment
US-5061367-A,Water purifying filter device
US-4276161-A,Fuel filter provided with a water level detecting means
US-2011284475-A1,Apparatus and Method for Treatment of a Contaminated Water-Based Fluid
US-5032261-A,Compact biofilter for drinking water treatment
US-7208089-B2,Biomimetic membranes
US-6368503-B1,Filtered fluid dispensing system
US-9744499-B2,Hybrid nanoparticle TFC membranes
US-6478963-B1,Method and device for anaerobic purification of waste water using the UASB method
US-7455706-B2,Filter system for electronic equipment enclosure
US-7637320-B2,Differential filters for stopping water during oil production
US-2004118780-A1,Water purification system and method
US-5676824-A,Water purifier with means for indicating when filter replacement is due and for automatically initiating a membrane washing step
US-6656356-B2,Aerated immersed membrane system
US-2003057155-A1,Ultrafiltration and microfiltration module and system
US-4801375-A,Water vending system
US-5362400-A,Process for the purification of water
US-4038103-A,Dishwasher filter flushing system
US-5154809-A,Process for purifying water
US-9452375-B2,Water filter cartridge and valve with autobypass feature
US-6890436-B2,Porous hollow fiber membranes and method of making the same
US-6861064-B1,Encapsulation method
US-7029577-B2,Aquaculture system
US-6638426-B1,Water purifying apparatus
US-8469331-B2,Filtration system for preparation of fluids for medical applications
US-7220356-B2,Method of purifying polypeptides by simulated moving bed chromatography
US-7153417-B2,Floating storm water drain basket
US-6123837-A,Faucet mounted water filter
US-6578959-B1,Printer including microwave dryer
US-2004079234-A1,Drum scrubber
US-7107838-B2,Apparatus and methods for monitoring water consumption and filter usage
US-7373787-B2,"Portable, potable water recovery and dispensing apparatus"
US-5935609-A,Self-regulating water purification composition
US-5756047-A,Air purification method
US-4172796-A,Water purifier apparatus
US-4379763-A,Waste water treatment by chelation-gelation
US-4361486-A,"Filter media, method for oxidizing and removing soluble iron, method for removing and inactivating microorganisms, and particulate filter aid"
US-4525253-A,Method and apparatus for purification of water
US-5415673-A,Energy efficient filtration of syngas cooling and scrubbing water
US-5725782-A,Environmental filter
US-5518624-A,Ultra pure water filtration
US-5893978-A,Purifying method and purification system for lakes and marshes
US-6001254-A,"Method of operating and monitoring a group of filter membrane modules, and a group of modules implementing the method"
US-6200482-B1,Arsenic filtering media
US-3843521-A,Domestic water purification method and system
US-8343339-B2,Apparatus for facilitating maintenance of a pool cleaning device
US-5308482-A,Portable water-purifying devices
US-6093313-A,Multiple discharge water faucet with self-contained filter
US-3834537-A,High throughput filter having multiposition valve
US-4986906-A,Swimming pool water purification system
US-7153393-B2,Method of purifying Fischer-Tropsch derived water
US-6200487-B1,"In-line, in-pool water purification system"
US-8343359-B2,Installation and method for the purification of an aqueous effluent by means of oxidation and membrane filtration
US-2004235770-A1,Immunostimulatory nucleic acid oil-in-water formulations and related methods of use
US-5110479-A,Water purification systems
US-4748378-A,Ionized channel generation of an intense-relativistic electron beam
US-4931183-A,Process and apparatus for the biological purification of water
US-5336413-A,Process and apparatus for the purification of water
US-2004149655-A1,Methods and systems for purifying fluids and regenerating purification media
US-6843912-B2,Combined filter manifold and shut-off valve for a water purification system
US-5035726-A,Process for removing oxygen from crude argon
US-6557492-B1,"System for transporting and storing live fish, components thereof and methods based thereon"
US-6190553-B1,Purification system for disposal of polluted or waste water using water plants
US-9862624-B2,Device and method for dynamic processing in water purification
US-5946767-A,Pipe cleaning vehicle
US-6929748-B2,Apparatus and method for continuous electrodeionization
US-4902427-A,Filter for removing heavy metals from drinking water
US-2011168644-A1,Systems and methods for personal water filtration
US-5064534-A,Filter for the purification of tap water
US-5374351-A,Filter backflushing system
US-5152464-A,Shower filter assembly
US-5116509-A,Electrodeionization and ultraviolet light treatment method for purifying water
US-5393419-A,Ultraviolet lamp assembly for water purification
US-5910248-A,Water filtration
US-6306166-B1,Loading and release of water-insoluble drugs
US-5617885-A,Washing machine with water recovery arrangement
US-7459088-B2,Water desalination process and apparatus
US-5540848-A,Filter retainer for water purification unit
US-3839007-A,Method of fertilization with slow release phosphate particles
US-5259936-A,Purified ion exchange resins and process
US-4812237-A,Water recycle system
US-6335282-B1,Method of forming a titanium comprising layer and method of forming a conductive silicide contact
US-4255257-A,Process for the treatment of water
US-6083405-A,Floating water purification free-running apparatus and water purification method
US-6929765-B2,Method of manufacturing a spacer of an electrically driven water purification apparatus
US-2013037469-A1,Integrated water filter and container
US-8784734-B2,Reusable sheaths for separating magnetic particles
US-6402916-B1,Electrolytic process and apparatus controlled regeneration of modified ion exchangers to purify aqueous solutions and adjust ph
US-4156621-A,Regeneration of used dishwashing water without chemical additives for sanitizing and spot-free rinse uses
US-5174895-A,Coiled filter strip with upstream and downstream butt ends
US-6491811-B2,Sensor for a water treatment apparatus
US-6569329-B1,Personal water filter bottle system
US-8101058-B2,Apparatus for fluid purification
US-2006070942-A1,Water purifying apparatus
US-4696718-A,Water purification device
US-5411889-A,Regulating water treatment agent dosage based on operational system stresses
US-5236595-A,Method and apparatus for filtration with plural ultraviolet treatment stages
US-4995310-A,"Disposable filter cartridge, whether or not combined with a water reservoir"
US-2007215725-A1,Trace chemical particle release nozzle
US-6610193-B2,System and method for the production and use of hydrogen on board a marine vessel
US-4280912-A,Water purification unit and method
US-7169908-B2,Purification of polypeptides
US-5277805-A,Rechargeable water filter
US-8025795-B2,Ballast water treatment system
US-6149801-A,Water treatment device with volumetric monitoring features
US-5006234-A,Reverse osmosis water purification systems
US-4220527-A,Method of cleaning phosphorus-containing waste water by microorganisms
US-4681677-A,Water processor having automatic shutoff and bypass means
US-6136189-A,Enhanced in-bottle filtration mechanism and techniques
US-4059522-A,Apparatus for purifying water
US-4378276-A,Electrolytic treatment of water
US-7815806-B2,Purification of fluids with carbon nanotubes having attached functional group
US-5730861-A,Swimming pool control system
US-4002040-A,Method of cooling air and apparatus intended therefor
US-5911884-A,Contamination proof purified water dispenser and method of using same
US-6113797-A,High water recovery membrane purification process
US-4587518-A,Monitor and control system for water purification apparatus
US-2009134080-A1,Purified Water Production and Distribution System
US-4637351-A,System for removal of water from diesel fuel systems
US-7067054-B2,Water filter assembly for use in an appliance
US-6315886-B1,Electrolytic apparatus and methods for purification of aqueous solutions
US-2002054914-A1,Compositions and methods for therapuetic agents complexed with calcium phosphate and encased by casein
US-6001249-A,Multi-stage water filter system
US-6500332-B2,Apparatus for purifying spas/jetted tubs
US-6716343-B2,Point-of-use water treatment system
US-4018656-A,Thermal softening and distillation by regenerative method
US-6749748-B1,Methods for reducing the amount of contaminants in water
US-3594825-A,Water circulation system
US-6231761-B1,Rotary disk filter
US-6358431-B1,Calixarenes
US-6627073-B2,Water treatment device
US-8298420-B2,Drainless reverse osmosis water purification system
US-4002566-A,Water purifying systems
US-5632892-A,Portable reverse osmosis water purification plant
US-4036749-A,Purification of saline water
US-2018221555-A1,In-line sensors for dialysis applications
US-2018000752-A1,Pulsed Release Phenylephrine Dosage Forms
US-4172781-A,Waste water process for treatment of strong wastes
US-6531059-B1,Suspended runoff water filter
US-5886154-A,Chromatographic method for high yield purification and viral inactivation of antibodies
US-4734226-A,Method for refining glyceride oils using acid-treated amorphous silica
US-4495072-A,Filter screen device
US-5145585-A,Method and apparatus for treating water in a cooling system
US-5685980-A,Miniaturized handheld desalination field unit
US-2006068021-A1,Sustained-release microencapsulated delivery system
US-7294256-B2,Storm water filter system
US-2009321365-A1,System of water treatment
US-4759782-A,Coalescing filter for removal of liquid aerosols from gaseous streams
US-7166219-B2,Method of purifying fischer-tropsch derived water
US-3687646-A,Sewage disposal process
US-8790514-B2,Waste water treatment method
US-6209337-B1,Water collection and purification system
US-4999109-A,Filtering lid with separate inlet and outlet compartments
US-6808637-B2,System for producing ozone water and control method thereof
US-5217607-A,"Water decontamination system with filter, electrostatic treatment and UV radiation chamber"
US-5928490-A,Laundry wash process and waste water treatment system
US-4217109-A,"Composition comprising a pulverized purified substance, water and a dispersing agent, and a method for preparing the composition"
US-6358395-B1,Under the counter water treatment system
US-6451202-B1,Point-of-use water treatment system
US-6106706-A,Storm water filter arrangement
US-5494573-A,Reverse osmosis water purification diagnostic system
US-6309532-B1,Method and apparatus for capacitive deionization and electrochemical purification and regeneration of electrodes
US-6287450-B1,Apparatus and method for purifying water with an immersed galvanic cell
US-4754571-A,Terrarium/aquarium combination
US-4905900-A,"Water cannon apparatus for cleaning a tube bundle heat exchanger, boiler, condenser, or the like"
US-7582198-B2,Water treatment system and method
US-4013554-A,Method and apparatus for purifying water contaminated with anodically oxidizable organic matter
US-5545315-A,Water filtering and purifying apparatus
US-6537457-B1,Method for treating circulating water from an enamelling line
US-4119517-A,Apparatus for purifying water
US-7713482-B2,Control scheme for enhanced filtered water systems
US-2001041892-A1,Hemofiltration system including ultrafiltrate purification and re-infusion system
US-8658043-B2,Water treatment system and method
US-6063273-A,Apparatus for the biological purification of waste water
US-4671856-A,Method for recyclying energy in counterflow heat exchange and distillation
US-5637214-A,Filter assembly for water treatment apparatus
US-6858725-B1,Microcrystalline cellulose cushioning granules
US-9212067-B2,Water bottle with flow meter
US-5928505-A,Device for purifying and dispensing water
US-5405539-A,Storm drain filter system
US-5250177-A,Water purifier with an ozone generating device
US-8006511-B2,"Water vapor distillation apparatus, method and system"
US-5881913-A,Contamination proof purified water dispenser
US-4966096-A,Water purification system and apparatus
US-6110375-A,Process for purifying water
