publication_number,title
US-10044528-B2,Equalizer apparatus and Viterbi algorithm based decision method
US-7158522-B1,Transparent optimization for session establishment using characterized synchronization packet
US-6312980-B1,Programmable triangular shaped device having variable gain
US-2011026832-A1,Automatic extraction of planetary image features
US-2011145156-A1,Method and System for Acquiring High Quality Non-Expert Knowledge from an On-Demand Workforce
US-2008195625-A1,Interactive credential system and method
US-2014068271-A1,Method and system for multiple passcode generation
US-7720576-B2,Intelligent auxiliary power supply system with current and temperature monitoring capabilities
US-2006059373-A1,Integrated circuit chip for encryption and decryption using instructions supplied through a secure interface
US-2016077895-A1,Profile-driven merging of api components
US-2014194086-A1,Adaptive Network Searching in Out-of-Service Scenarios
US-6600740-B1,Voice quality optimization on multi-codec calls
US-9775220-B2,Networked lighting apparatus and method for such lighting apparatus to identify itself and communicate its network address
US-2005143885-A1,Rollover stability system including allowance for the steering angle
US-7899638-B2,Estimating bit error rate performance of signals
US-2017024855-A1,Single Image Super-Resolution Method Using Transform-Invariant Directional Total Variation with S1/2+L1/2-norm
US-2004143184-A1,Computer assisted intramedullary rod surgery system with enhanced features
US-7412354-B2,Method for measuring quantity of usage of CPU
US-2003169809-A1,Method for determining coefficients of an equalizer and apparatus for determining the same
US-2008167877-A1,Application of Speech and Speaker Recognition Tools to Fault Detection in Electrical Circuits
US-8055201-B1,System and method for providing integrated voice quality measurements for wireless networks
US-7389209-B2,Valuing and optimizing scheduling of generation assets for a group of facilities
US-9130788-B2,Determining a response of a rapidly varying OFDM communication channel using an observation scalar
US-8595478-B2,Wide area network with high quality of service
US-2007044082-A1,Method and computer system for software tuning
US-2016022521-A1,Cushion immersion sensor
US-2008319299-A1,Method and apparatus for controlling positioning of a noninvasive analyzer sample probe
US-2015112725-A1,Population health situational awareness
US-2007165749-A1,Method and system for an improved cellular diversity receiver
US-8922426-B1,System for geo-location
US-2017041655-A1,Exposure of public internet protocol addresses in an advertising exchange server to improve relevancy of advertisements
US-2003113904-A1,Rapid gas recovery in an incubator system
US-7176828-B2,Near-field antenna array with signal processing
US-2014200391-A1,Method and apparatus for monitoring and optimizing blood circulation generated by a pump
US-2011002381-A1,Bitrate control algorithm for video transcoding systems
US-5627894-A,Random number generator
US-2004042796-A1,"Photonic communication system with &#34;sub-line rate&#34; bandwidth granularity, protocol transparency and deterministic mesh connectivity"
US-6625477-B1,Apparatus and method for identifying and charging batteries of different types
US-2004039657-A1,Automatic recommendation of products using latent semantic indexing of content
US-2018182128-A1,Few-view image reconstruction
US-2010150443-A1,Method for improved image segmentation
US-7440623-B2,"Real-time contents editing method, system, and program"
US-2004069059-A1,Method and an apparatus for performing a measurement of a continuous sheet
US-2007024834-A1,Apparatus and process for determination of dynamic scan field curvature
US-6726767-B1,Layer processing
US-7333549-B2,Method and apparatus for estimating a signal sequence in a MIMO-OFDM mobile communication system
US-2018308030-A1,System and Method for Establishing Regional Distribution Center Inventory Levels for New Third Party Products
US-2014072185-A1,Biometric Identification Systems and Methods
US-2014066691-A1,Instability Detection Algorithm for an Implantable Blood Pump
US-6657569-B2,Canonical Huffman encoded data decompression algorithm
US-6778216-B1,Method and apparatus for digital camera real-time image correction in preview mode
US-8537037-B2,Adaptive control for efficient HARQ memory usage
US-2010057995-A1,Content replacement and refresh policy implementation for a content distribution network
US-2003066084-A1,Apparatus and method for transcoding data received by a recording device
US-2013212164-A1,Intelligent content stream bandwidth determination
US-2011240376-A1,Multilevel force balanced downhole drilling tools and methods
US-2009046848-A1,Encryption management system
US-2016294636-A1,"Node placement method within a wireless network, such as a wireless local area network"
US-2012013486-A1,Optical Three-Dimensional Coordinate Sensor System and Method Thereof
US-2019045210-A1,Partitioning and coding mode selection for video encoding
US-2018204310-A1,Vehicle vision system with lens shading correction
US-9433376-B2,Systems and methods for processing analyte sensor data
US-8260509-B2,Vehicle speed limiting via engine control commands issued by electronic transmission controller
US-10201674-B2,Systems and methods for intelligent gas source management
US-2009193195-A1,Cache that stores data items associated with sticky indicators
US-2011216974-A1,Distortion of digital images using spatial offsets from image reference points
US-4920998-A,Method and apparatus for controlling flow bias in a multiple zone process
US-7702400-B2,Motion controllers and simulation systems including motion controllers
US-6003003-A,Speech recognition system having a quantizer using a single robust codebook designed at multiple signal to noise ratios
US-9213010-B2,"Application of electrochemical impedance spectroscopy in sensor systems, devices, and related methods"
US-8073140-B2,"Encryption/decryption device, encryption/decryption method, and computer program"
US-2011219058-A1,Algorithm Execution Output Cache
US-6928481-B1,"Method, apparatus and program to optimize the network distribution of digital information based on hierarchical grouping of server topology and code distribution"
US-2005286664-A1,Data-driven method and apparatus for real-time mixing of multichannel signals in a media server
US-6292754-B1,Vector recomposition of seismic 3-D converted-wave data
US-2004186597-A1,Method of optimizing adjustable parameters
US-2016116283-A1,Three-axis digital compass
US-3575587-A,Digital proportional plus reset process controller
US-2013186741-A1,"Controlled-gradient, accelerated-vapor-recompression apparatus and method"
US-5237507-A,System for developing real time economic incentives to encourage efficient use of the resources of a regulated electric utility
US-2017083008-A1,Optimal One-Wafer Scheduling of Single-Arm Multi-Cluster Tools with Tree-Like Topology
US-2016316884-A1,Central Hair Drying System
US-2009055778-A1,System and method for onscreen text recognition for mobile devices
US-6456127-B1,Adaptive pulse frame rate frequency control for minimization of electro-magnetic contamination in integrated switching amplifier systems
US-2002188594-A1,Framework and methods for dynamic execution of digital data processor resources
US-8775147-B1,Algorithm and architecture for multi-argument associative operations that minimizes the number of components using a latency of the components
US-8374274-B2,Methods and systems using norm approximation for maximum likelihood MIMO decoding
US-2008267504-A1,"Method, device and computer program product for integrating code-based and optical character recognition technologies into a mobile visual search"
US-2008186235-A1,Multiplatform TDOA correlation interferometer geolocation
US-2015199129-A1,System and Method for Providing Data Services in Direct Attached Storage via Multiple De-clustered RAID Pools
US-9135154-B2,Algorithm execution output cache
US-7318038-B2,Project risk assessment
US-2014226546-A1,Systems and methods for adapting a network search algorithm
US-9118663-B1,Agile OTP generation
US-2015052101-A1,Electronic device and method for transmitting files
US-2015181268-A1,Relevant advertisement generation based on a user operating a client device communicatively coupled with a networked media device
US-9871727-B2,Routing lookup method and device and method for constructing B-tree structure
US-2006091216-A1,Self-optimizing symbology reader
US-9715746-B2,Curve rendering method and apparatus
US-2009030624-A1,Systems and methods for validating power integrity of integrated circuits
US-4626824-A,Apparatus and algorithm for compressing and decompressing data
US-8712935-B2,Evolutionary clustering algorithm
US-8560599-B2,Automatic content composition generation
US-2002002680-A1,Method and apparatus for verifying the integrity of digital objects using signed manifests
US-2016127818-A1,In-ear hearing device and broadcast streaming system
US-2009089666-A1,Handheld Electronic Device and Associated Method Enabling Prioritization of Proposed Spelling Corrections
US-2011248851-A1,"Method for authenticating a person&#39;s identity by using a RFID card, biometric signature recognition and facial recognition."
US-8069159-B2,More efficient search algorithm (MESA) using prioritized search sequencing
US-2017103110-A1,Optionalization and fuzzy search on online social networks
US-7792385-B2,Scratch pad for storing intermediate loop filter data
US-2003210344-A1,Incorporating pixel replacement for negative values arising in dark frame subtraction
US-2006221095-A1,Methods and systems for combining luminance preserving quantization and halftoning
US-2017272722-A1,Method for data reuse and applications to spatio-temporal supersampling and de-noising
US-5822341-A,Multiport RAM for use within a viterbi decoder
US-5981860-A,Sound source system based on computer software and method of generating acoustic waveform data
US-5902525-A,Method of molding a plastic article including injecting based upon a pressure-dominated control algorithm after detecting an indicia of a decrease in the surface area of the melt front
US-7428332-B2,Applying an adjusted image enhancement algorithm to a digital image
US-7676576-B1,Method and system to clear counters used for statistical tracking for global server load balancing
US-2005177726-A1,Method and system for controlling encoded image production using image signatures
US-8090676-B2,Systems and methods for real time classification and performance monitoring of batch processes
US-8356161-B2,Adaptive processor for performing an operation with simple and complex units each comprising configurably interconnected heterogeneous elements
US-2015362599-A1,Gamma probe health detection assembly
US-2007236496-A1,Graphic arts image production process using computer tomography
US-9751533-B2,Road surface friction and surface type estimation system and method
US-8565506-B2,Integrating auxiliary detection and voting algorithms into clinical CAD workflow
US-2011154022-A1,Method and Apparatus for Machine-to-Machine Communication
US-2004039719-A1,Computerized identification of normal and abnormal diurnal cortisol secretion patterns and levels of testosterone from human saliva samples
US-6687653-B1,Systems and methods for distributed algorithm for optimization-based diagnosis
US-2016371079-A1,Correcting non-compliant source code in an integrated development environment
US-2013343487-A1,Multi-Mode Receiver for Highly-Spectrally-Efficient Communications
US-2010208034-A1,Method and system for the dynamic calibration of stereovision cameras
US-2013148885-A1,Method and system for determining colour from an image
US-7502076-B2,Method and apparatus for a digital display
US-9585589-B2,Computerized systems and methods for stability-theoretic prediction and prevention of sudden cardiac death
US-2002009229-A1,Image processing apparatus and methods for pattern recognition
US-2011103470-A1,High Precision Encoding and Decoding of Video Images
US-2019003473-A1,Systems and methods for controlling multi-chamber subsea pumps
US-2008175480-A1,Identifying computer graphics from digital photographs
US-7414571-B2,Low frequency asset tag tracking system and method
US-7365795-B2,Apparatus and method for adaptively de-interlacing image frame
US-9001686-B2,Interference estimation with TDM
US-7283650-B1,Method and system for printing of automatically captured facial images augmented with promotional content
US-2004181346-A1,Multiple sensing system and device
US-6362593-B1,Apparatus and method for compensating dead time of motor
US-2017097296-A1,"Automatic compensation method, device, and corresponding flow cytometer"
US-6802186-B2,Refrigerator system and software architecture
US-6865529-B2,"Method of estimating the pitch of a speech signal using an average distance between peaks, use of the method, and a device adapted therefor"
US-7280682-B2,Three-dimensional image capture system
US-2015124810-A1,"Method, device, and system for creating bidirectional multicast distribution tree based on interior gateway protocol"
US-2013267945-A1,Electrosurgical Generator
US-2018280979-A1,Method and system for coordination on optically controlled microfluidic systems
US-2009144617-A1,"Method and system for fast, generic, online and offline, multi-source text analysis and visualization"
US-8160727-B2,Mobile workstation control system configured for power system and peripheral device control
US-10042570-B2,Tape backup and restore in a disk storage environment with intelligent data placement
US-9940528-B2,Driver assistance system for vehicle
US-2009187734-A1,Efficient Texture Processing of Pixel Groups with SIMD Execution Unit
US-2005036153-A1,Apparatus and process for characterizing samples
US-2018056024-A1,Humidifier for a respiratory therapy device
US-7752419-B1,Method and system for managing hardware resources to implement system functions using an adaptive computing architecture
US-2009144593-A1,Method and apparatus for describing parallel access to a system-on-chip
US-2015264018-A1,Method and system for securing communication
US-7177944-B1,Trans-compression selection and configuration in modem over packet networks
US-2012260106-A1,System and method for binary layout randomization
US-9542561-B2,"Instructions processors, methods, and systems to process secure hash algorithms"
US-2013302772-A1,Electronic learning system
US-9311386-B1,Categorizing network resources and extracting user interests from network activity
US-2004237061-A1,Method for correcting a mask design layout
US-7391409-B2,Method and system for applying gearing effects to multi-channel mixed input
US-2018123853-A1,Multiplex of high definition radio stations
US-2011313767-A1,System and method for data intensive local inference
US-2006271536-A1,"Method, apparatus, and system for linking documents"
US-2011217685-A1,"System and method for automated content generation for enhancing learning, creativity, insights, and assessments"
US-7174381-B2,"Parallel computing system, method and architecture"
US-2012109679-A1,Consumer portal for healthcare appointments across practice groups
US-2013225294-A1,Detecting illegal moves in a game using inertial sensors
US-10041918-B2,Electronic nose and tongue device for real-time monitoring and analysis of liquid and gaseous substances
US-8712856-B2,Systems and/or methods for determining item serial number structure and intelligence
US-7386368-B2,Methods and systems for manufacturing optimized concrete
US-2003235099-A1,"Search memory, memory search controller, and memory search method"
US-5929998-A,Method for matching a colour formulation
US-2017336247-A1,"Method for the discovery, validation and clinical application of multiplex biomarker algorithms based on optical, physical and/or electromagnetic patterns"
US-2005238233-A1,Computation of contour
US-2010248715-A1,Systems and method for optimizing wireless local area network channel scanning
US-2014148710-A1,Wireless skin temperature measurements in diving
US-2009185560-A1,System and Method for Heuristically Dropping Packets in a Multilink PPP Bundle
US-2002188507-A1,Method and system for predicting customer behavior based on data network geography
US-2015100269-A1,Automated localization for gnss device
US-9071316-B2,Method for detection of symbols in communication signals
US-10002372-B2,Duplicate check based on generated hash value
US-5640192-A,Interactive viewer response system
US-2013114806-A1,Method for encrypting a message through the computation of mathematical functions comprising modular multiplications
US-2015294230-A1,Methods and systems for modeling cloud user behavior
US-6529010-B1,Location of fault on series-compensated power transmission lines
US-9419303-B2,Electric vehicle propulsion system and method utilizing solid-state rechargeable electrochemical cells
US-2003002534-A1,Random early discard for cell-switched data switch
US-9712861-B1,Interactive load balancing among DVRs based on customer selection
US-8315476-B1,Super-resolution with the focused plenoptic camera
US-8803089-B2,"System and method for wireless, motion and position-sensing, integrating radiation sensor for occupational and environmental dosimetry"
US-9609321-B2,Conditional concealment of lost video data
US-4965677-A,Compression of binary halftones
US-2011182387-A1,Blind Mechanism for the Joint Estimation of Frequency Offset and Phase Offset for QAM Modulated Signals
US-2010034393-A1,Ad-hoc adaptive wireless mobile sound system
US-5128539-A,Apparatus having reduced background for measuring radiation activity in aerosol particles
US-2005152534-A1,Robust adaptive filter for echo cancellation
US-2003216145-A1,Method of providing directional assistance to a telephone subscriber
US-2014072195-A1,Automated fish reader using learning machines
US-2002056805-A1,Interior rearview mirror system including a forward facing video device
US-7432611-B2,Power control interface between a wind farm and a power transmission system
US-5488411-A,Interactive system for a closed cable network
US-6845268-B2,Rate stabilization with maintenance of intrinsic ventricular response
US-7284272-B2,Secret hashing for TCP SYN/FIN correspondence
US-8930285-B2,Composite production rules
US-2013121498-A1,Noise reduction using microphone array orientation information
US-7552095-B2,Computer-implemented product valuation tool
US-8156399-B2,Low density parity check codes decoder and method thereof
US-RE40942-E,Integrated digital signal processor/general purpose CPU with shared internal memory
US-8705730-B2,Elliptic curve cryptography with fragmented key processing and methods for use therewith
US-2008292143-A1,Identity verification system with interoperable and interchangeable input devices
US-8986978-B2,Perfusion regulation
US-8014786-B2,Distributed micro instruction set processor architecture for high-efficiency signal processing
US-2017171017-A1,"Resilient data communications with physical layer link aggregation, extended failure detection and load balancing"
US-2011210831-A1,Simplified device pairing employing near field communication tags
US-3728684-A,Dynamic scanning algorithm for a buffered printer
US-8310105-B2,Centralized islanding protection for distributed renewable energy generators
US-5881243-A,System for maintaining multiple loop free paths between source node and destination node in computer network
US-2015312743-A1,Override of distribution algorithms for an offline charging system
US-2007112566-A1,Method and system for Gaussian probability data bit reduction and computation
US-7581109-B2,Delegation of electronic signature by multi-agent cryptography
US-2009210553-A1,Packet forwarding apparatus using token bucket algorithm and leaky bucket algorithm
US-2013275194-A1,Electronic transaction method and system
US-5631960-A,Autotest of encryption algorithms in embedded secure encryption devices
US-6438272-B1,Method and apparatus for three dimensional surface contouring using a digital video projection system
US-2014324404-A1,Systems and Methods for Efficiently Creating An Electronic Description of A Building
US-8099306-B2,Pharmacy episodes of care
US-2003088320-A1,Unsupervised machine learning-based mathematical model selection
US-2016104094-A1,Future meeting evaluation using implicit device feedback
US-2010100919-A1,Method for reducing upstream ingress noise in cable data system
US-7813420-B2,Adaptive GDFE
US-2013073612-A1,Configuring output on a communication device
US-2012069753-A1,Channel estimation based on midamble
US-2016345828-A1,System and method for multi-scale closed-loop eye tracking with real-time image montaging
US-2009190686-A1,Apparatus and method for channel estimation in mimo systems
US-6121886-A,Method for predicting fault conditions in an intelligent electronic device
US-2016072657-A1,Systems and methods for advanced iterative decoding and channel estimation of concatenated coding systems
US-2007005597-A1,Name classifier algorithm
US-8230310-B2,Method and apparatus for received signal processing in a wireless communication receiver
US-5836876-A,Method and apparatus for determining bone density and diagnosing osteoporosis
US-8447797-B2,MIMO system method and device using sorted QR-decomposition (SQRD) for detecting transmission signal with division detection
US-6834225-B1,Method and system for controlling a transfer case clutch to avoid wheel slip
US-8559908-B2,Jamming graph and its application in network resource assignment
US-5168352-A,Coloring device for performing adaptive coloring of a monochromatic image
US-2008098746-A1,Method for detecting onset of uncontrolled fuel in a gas turbine combustor
US-7852863-B2,System and methods for connections using automatically switched optical network control planes
US-2011112882-A1,Method of generating feedback for project portfolio management
US-2018349492-A1,Automatically Predicting Relevant Contexts For Media Items
US-2009048996-A1,Computerized Modeling Method and a Computer Program Product Employing a Hybrid Bayesian Decision Tree for Classification
US-2003059113-A1,System and method for creating unclassified line drawings from classified NTM images
US-6775722-B2,Efficient data retrieval from input coupling queues
US-2008061961-A1,Methods and Systems for semi-automatic adjustment of medical monitoring and treatment.
US-2014132755-A1,Portable composable machine vision system for identifying projectiles
US-2005108831-A1,Dry cleaning business model algorithm
US-2016253776-A1,Fast computation of general fourier transforms on graphics processing units
US-2006130070-A1,System and method of event correlation
US-2010236851-A1,Control of a starter-alternator during a high-voltage battery fault condition
US-2006149914-A1,Systems and methods for allocating data structures to memories
US-6226639-B1,System and method for hybrid hash join using over-partitioning to respond to database query
US-2011260673-A1,Motor controlling apparatus and method of the same
US-2006200783-A1,Decoupling capacitance analysis method
US-2017094487-A1,"Automatic construction of personalized, peer-derived messages for mobile health applications"
US-2008101354-A1,Packet processing
US-2012179614-A1,Systems and methods for product authentication
US-2014093152-A1,Methods and devices for locating object in ct imaging
US-7079959-B2,High-resolution intelligent rotor machine diagnostic system and method
US-7937139-B2,Systems and methods of utilizing electrical readings in the determination of treatment
US-2012290282-A1,Reachability analysis by logical circuit simulation for providing output sets containing symbolic values
US-9177466-B2,Advanced battery early warning and monitoring system
US-5821727-A,Induction motor control unit
US-8275548-B2,Method and apparatus for detecting lightning activity
US-2017175169-A1,Clinical decision support system utilizing deep neural networks for diagnosis of chronic diseases
US-2014152677-A1,Creating presentations by capturing content of a simulated second monitor
US-5392401-A,Switching system for simultaneously transferring data between data processing units
US-2011276952-A1,Telecommunications application generator
US-2007034212-A1,Motion-Coupled Visual Environment for Prevention or Reduction of Motion Sickness and Simulator/Virtual Environment Sickness
US-2017307341-A1,Dartboard scoring system
US-5224045-A,Automotive vehicle microprocessor control having grade-holder vehicle speed control
US-7599306-B2,Media access controller
US-2018276483-A1,Road shoulder extraction
US-6272600-B1,Memory request reordering in a data processing system
US-8370527-B2,Active control of collaborative devices according to a tertiary relationship among the collaborative devices
US-5983655-A,Thermal storage monitoring and control system for cargo container
US-5588027-A,Digital demodulating method and circuit for use in a time-division multiple access channel
US-5164647-A,Multivariable adaptive vibration canceller
US-2005100207-A1,Realtime stereo and motion analysis on passive video images using an efficient image-to-image comparison algorithm requiring minimal buffering
US-8494959-B2,Payment card with dynamic account number
US-2011295542-A1,Method and Device for Identifying a Faulty Algorithm
US-2018068439-A1,Method of determining target treatment locations
US-2008219209-A1,Method and system for multiuser wireless communications using anti-interference to increase transmission data rate
US-2012265872-A1,Systems and Methods of Automatically Remediating Fault Conditions
US-2015295950-A1,"Method, apparatus and system for defending against network attack"
US-7496866-B2,Method for optimizing of pipeline structure placement
US-6931019-B2,Receive processing for dedicated bandwidth data communication switch backplane
US-5666360-A,Multicast routing in self-routing multistage networks
US-7335885-B2,Ultra low power NDIR gas sensor fire detector
US-8392497-B2,Systems and algorithm for interfacing with a virtualized computing service over a network using a lightweight client
US-9536465-B2,Re-interpolation with edge detection for extracting an aging pattern for AMOLED displays
US-2016187880-A1,Driving control system and dynamic decision control method thereof
US-7949619-B2,Business process analyzer that serializes obtained business process data and identifies patterns in serialized business processs data
US-10198529-B2,Apparatus and method of processing graphic data using index based triangle listing
US-2016041302-A1,Automatic geosteering and evolutionary algorithm for use with same
US-2013217473-A1,Systems and Methods for Prize Discovery Games
US-2017244778-A1,Graph framework using heterogeneous social networks
US-2018218239-A1,Method for analysis and interpretation of flow cytometry data
US-2012254679-A1,Systems and Methods for Enhanced Media Defect Detection
US-7573794-B2,Data defect detection using soft decision result
US-2016180863-A1,Intelligent volume control interface
US-6226717-B1,System and method for exclusive access to shared storage
US-4510567-A,Qualifying and sorting file record data
US-2018225186-A1,Automatic qubit calibration
US-7099470-B2,Encryption apparatus using data encryption standard algorithm
US-8406507-B2,Method and system for representing image patches
US-9755763-B2,Adaptive post digital filter and inter-symbol interference equalizer for optical communication
US-5283811-A,Decision feedback equalization for digital cellular radio
US-9777657-B2,On-line adaptive PID control of air charging system
US-2010279655-A1,Method of remote managing on-card generation of keys on sim cards
US-8494807-B2,Prognostics and health management implementation for self cognizant electronic products
US-2016115551-A1,Methods to predict risk of recurrence in node-positive early breast cancer
US-2018285493-A1,Defect detection method for 3d chip and system using the same
US-2018048587-A1,Port switch service
US-10068128-B2,Face key point positioning method and terminal
US-2004194299-A1,Method of manufacturing a probe card
US-2017237561-A1,"Systems and Methods for &#34;Machine-to-Machine&#34; (M2M) Communications Between Modules, Servers, and an Application using Public Key Infrastructure (PKI)"
US-7365322-B2,Method and apparatus for arranging recipe of scanning electron microscope and apparatus for evaluating shape of semiconductor device pattern
US-2012271838-A1,Linear-time top-k sort method
US-2012021707-A1,Apparatus and method for adjustment of transmitter power in a system
US-8538594-B2,Method for assigning transmission line of electric network
US-2015112495-A1,Apparatus and method for extracting maximum power from energy harvester apparatus
US-2004022485-A1,Apparatus and method for producing a flat-topped filter response for (de)multiplexer having a diffraction grating with variable line spacing
US-2008314829-A1,Dynamic Control of Membrane Bioreactor System
US-2006161612-A1,Method and structure for a generalized cache-register file interface with data restructuring methods for multiple cache levels and hardware pre-fetching
US-9639928-B2,Method and device for simplifying information obtained from electrical impedance tomography
US-2006241409-A1,Time domain inverse scattering techniques for use in microwave imaging
US-8533595-B2,Hierarchical display and navigation of document revision histories
US-9414072-B1,Performance of the JPEG estimated spectrum adaptive postfilter (JPEG-ESAP) for low bit rates
US-7051246-B2,Method for estimating clock skew within a communications network
US-2012207690-A1,Searching methods using genetic responsivity measurements
US-6772074-B2,Adaptation performance improvements for active control of sound or vibration
US-7894046-B2,Two-dimensional estimation technique for doppler optical coherence tomography (OCT)
US-2009153922-A1,Multifunction Sensor for An Image Forming Device
US-8186589-B2,UAV decision and control system
US-8111825-B2,Encryption apparatus and method therefor
US-2008101167-A1,Digital servo for optical disk drive
US-4873641-A,Induction volume sensing arrangement for an internal combustion engine or the like
US-8041530-B2,Method to efficiently synchronize multiple measurements across multiple sensor inputs
US-2006067404-A1,Motion estimation and compensation in video compression
US-5729607-A,Non-linear digital communications system
US-2008006772-A1,Thermally-directed optical processing
US-8389848-B1,Electro-mechanically assisted bass drum pedal and method of use
US-10044499-B2,"Information processing apparatus, program, and storage medium"
US-2011060968-A1,Systems and Methods for Implementing Error Correction in Relation to a Flash Memory
US-7076513-B2,Method and architecture for controlling asymmetry of an LMS adaptation algorithm that controls FIR filter coefficients
US-2014313204-A1,Electronic device and method for driving retina display
US-2005182729-A1,Method of preventing counterfeiting
US-8799340-B2,Systems and methods for efficient data channel testing
US-2004156388-A1,System for maintaining quality of service
US-6650886-B1,Tariff determination in mobile telecommunications networks
US-7301997-B1,Method and apparatus for improved high-speed adaptive equalization
US-2007064590-A1,Buffer-based generation of OVSF code sequences
US-7742592-B2,Method and device for removing echo in an audio signal
US-7561884-B2,System and method for automated tracking of assets using location measurements and ad-hoc routing algorithms
US-8989876-B2,Situational awareness for teleoperation of a remote vehicle
US-8175165-B2,Methods and apparatus for deriving an order-16 integer transform
US-2018341430-A1,Methods for Scheduling and Executing Commands in a Flash Memory and Apparatuses Using the Same
US-8554710-B2,Converting video metadata to propositional graphs for use in an analogical reasoning system
US-2018246999-A1,Stratum component optimization determination method and device
US-5131083-A,Method of transferring burst data in a microprocessor
US-2008270331-A1,Method and system for solving an optimization problem with dynamic constraints
US-5331537-A,Method of controlling electric valves of a converter
US-8117661-B2,Encryption based silicon IP protection
US-2003063662-A1,"Wonder generator, digital line tester comprising the same, and phase noise transfer characteristic analyzer"
US-2004077963-A1,Dynamic mode switch for early detection of tachyarrhythmia
US-2016070988-A1,Method of image analysis
US-8055401-B2,Transmission auxiliary pump diagnosis method and apparatus
US-2013276019-A1,Method and authentication server for verifying access identity of set-top box
US-2006028891-A1,Built-in self diagnosis device for a random access memory and method of diagnosing a random access memory
US-8780401-B2,Systems and methods for analyzing digital slide images using algorithms constrained by parameter data
US-8571706-B2,Method and system for optimizing the layout of a robot work cell
US-7046702-B2,Radio resource control signaling for physical layer configuration changes
US-5313212-A,Track filter bias estimation
US-9465821-B1,Data storage integrity validation
US-2003046564-A1,Storage medium and method for storing data decrypting algorithm
US-2003063816-A1,Image-based method and system for building spherical panoramas
US-7684563-B1,Apparatus and method for implementing a unified hash algorithm pipeline
US-9970954-B2,Integer ratiometric analysis of rotating assets
US-7876777-B2,Multiple protocol decoder
US-2017217780-A1,Himalayan salt crystal purification process
US-7966272-B2,Methods and systems for multi-participant interactive evolutionary computing
US-5377814-A,Transport carrier for use in an article sorting system
US-9158857-B2,Identifying landing pages for images
US-9945923-B2,Method and apparatus for prospective motion correction using volume navigators in magnetic resonance imaging
US-2009316905-A1,Key exchange through a scramble methodology and system
US-2016236086-A1,Method and apparatus
US-2005065650-A1,Certain principles of biomorphic robots including foot placement selection using non-geometric visual properties
US-6327654-B1,Semiconductor integrated circuit for cryptographic process and encryption algorithm alternating method
US-5848102-A,Method and apparatus for encoding/decoding QAM trellis coded data
US-9928418-B2,System and method for detecting objects in an image
US-7606219-B2,Services control point selection in an advanced intelligent network
US-9328937-B2,Variable rate heating for agricultural purposes
US-6823501-B1,Method of generating the padring layout design using automation
US-2017140458-A1,Method of  estimating  tenancy duration and mobility in rental properties
US-10097193-B2,Method and system for time interleaved analog-to-digital converter timing mismatch estimation and compensation
US-7792654-B2,Dimensional measurement probe
US-6122652-A,Tone and periodical signal detection
US-2007034745-A1,Apparatus and method to provide failsafe deceleration for an agricultural windrower
US-7280654-B2,Modified affine projection algorithm for non-stationary signal
US-9236762-B2,System for the monitoring and maintenance of remote autonomously powered lighting installations
US-2017249014-A1,Interfaces and methods of digital composition and editing of textures for rendering on tactile surfaces
US-8787659-B2,Automatic adaptation to image processing pipeline
US-2018329068-A1,Indoor trilateralization using digital off-air access units
US-2007104479-A1,Correcting photographs obtained by a handheld device
US-2004081471-A1,Method and apparatus for providing data confidentially for very high-speed multiple-wavelength optical data links
US-7720032-B2,Method and apparatus for priority management of system algorithms in real time
US-6820221-B2,System and method for detecting process and network failures in a distributed system
US-8433645-B1,Methods and systems related to securities trading
US-2001027372-A1,Method for terminating a braking intervention of an adaptive cruise control system of a motor vehicle
US-6738045-B2,Method and system for accelerated data navigation
US-6445696-B1,Efficient variable rate coding of voice over asynchronous transfer mode
US-2006227038-A1,System and method for sidelobe reduction using point spread function expansion
US-7570519-B2,Method and system for program pulse generation during programming of nonvolatile electronic devices
US-7103219-B2,Population mixture modeling with an indeterminate number of sub-populations
US-7702156-B2,Method and system for the detection of shadows in noisy images
US-7457254-B2,Method and system for automatic language negotiation on voice (over IP) calls
US-2008244095-A1,System and method for selecting network access technology
US-6963926-B1,Progressive routing in a communications network
US-10140064-B2,Method and apparatus for storing information using an intelligent block storage controller
US-2012191978-A1,System and method for securing data for redirecting and transporting over a wireless network
US-2018182041-A1,Systems and Methods for Wide-Scale Mapping of Neighborhood Property Geolocations and Estimating Property Values Thereof
US-2015350241-A1,Data frame for protected data transmissions
US-2016099610-A1,Transmitters for wireless power transmission
US-2011029837-A1,Systems and Methods for Phase Dependent Data Detection in Iterative Decoding
US-6388970-B1,Compensation for thermal effects in CD write strategy
US-9669167-B2,Multifunctional glucose monitoring system and method of using the same
US-2015189351-A1,Systems and methods for a television scoring service that learns to reach  a target audience
US-5684730-A,Booth multiplier for trigonometric functions
US-2019044954-A1,Methods And Apparatus To Support Reliable Digital Communications Without Integrity Metadata
US-2006257027-A1,Method of determining alignment of images in high dimensional feature space
US-2017003380-A1,Method for evaluating type of distance measured by laser range finder and method for estimating position  of mobile robot by using same
US-10013743-B2,"Systems, methods and devices for performing motion artifact correction"
US-2011213566-A1,Method Of And System For Blind Extraction Of More Than Two Pure Components Out Of Spectroscopic Or Spectrometric Measurements Of Only Two Mixtures By Means Of Sparse Component Analysis
US-8504778-B2,Multi-core active memory processor system
US-2007150213-A1,Method for automatic differentiation of weld signals from defect signals in long-range guided-wave inspection using phase comparison
